header,contents,date
"서울시청 가볼만한 곳, 환구단, 황제가 하늘에 제사를 드리던 곳","#중구여행환구단, #중구가볼만한곳환구단, #서울중구여행환구단, #서울중구가볼만한곳환구단 환구단을 잠시 둘러보는데 소요시간은 채 10분도 걸리지 않았다. 원래는 건강검진으로 휴가를 냈지만, 오후 2시에 여의도 사무실에서 회의가 있기 때문에 이제 여의도로 간다. 환구단은 일몰 후에는...",2020. 11. 1.
서울 아이와함께 가볼만한곳 서소문역사공원,활동 중인 가족여행 전문 여행사 편안한가족여행 대표 정민두(편가여 단장) 오랜만에 서울 중구 여행사 사무실 출근을 했습니다. 정말 딥다 오랜만에....사무실 가는 길에 이번 여름방학 아이와 함께 가볼만한곳! 지상엔 공원 지하엔 박물관이 있는 서소문 역사공원입니다. 방문한 날이 마침...,2021. 7. 26.
"이나니와 요스케, 일본 이나니와 건면 우동을 맛볼 수 있는 서울시청 근처 맛집","가볼수는 없지만 그래도 시간이 허락한다면 많은 곳에 가보고 싶은 마음이다. 스시 & 덴푸라 & 우동 정식 맛있게 먹었던 따뜻한 카케 우동. 다음에 또 가게 된다면 차가운 세이로우동도 꼭 한 번 먹어보고 싶다. #국내여행, #서울, #서울여행, #서울가볼만한곳, #중구, #중구여행, #중구가볼만한곳, #맛집",2020. 11. 1.
[서울맛집] 평양냉면의 고수 - 우래옥(又來屋),서울에 있는 대학에 진학해 기숙사에서 생활하고 있는 조카를 만나 점심메뉴로 '냉면'을 선택했었습니다. 학교 기숙사 아래 음식점 많은 골목에... 지방에서 서울 올라온 사람 눈에는 모든 게 다 신기합니다. ㅎㅎ 35분 정도 기다려 드디어 이름이 불려지고 2층으로 안내받았습니다. 자리에...,2021. 6. 7.
서울 아이랑 가볼 만한 곳! 중구 신당 누리센터 하티붕붕 을 소개해요:),"만들어져서 #서울중구여행 을 하면서 방문해보시는 것도 좋을듯해요 한양도성 놀이존, 남산과 청계천을 모티브로 만든 남산 모험 놀이대, 남대문 수직 미로, 남대문시장 골목 등 5개의 놀이존과 17종의 놀이 아이템이 준비되어 있어요 Previous image Next image 서울 아이랑 가볼 만한 곳 하티붕붕 내...",2021. 8. 4.
서울 광화문-암소서울,인천 사람이 떠나는 서울 중구 여행으로 이번에 포스팅할 곳은 광화문역 인근에 있는 암소서울이다. 고급스러운 한식 다이닝으로 유명한 편이기도 하고 그래서 궁궐이 많은 광화문 일대와 잘 어울려 오게되었다. 결론부터 바로 말하면 고급스러운 한식 다이닝답게 내가 죽어 제사할때 제삿상에...,2021. 3. 17.
서울 중구 국내여행업 등록 완료,일반여행업 #국내여행업 #국외여행업 #여행업행정사 #서울여행업 #종로여행사 #중구여행사 #건대여행사 #여행업전문행정사 #종합여행업 #국내외여행업 #여행안내업 #여행사전문행정사 #여행사설립전문행정사 #외국인환자유치업 #의료관광 #서울중구여행업 #중구여행업 #명동여행업 #명동여행사,2021. 9. 3.
어이없는 당일치기 부산 여행 - 중구,"이른 아침 기차여서, 집에서 서울역에 가려면 아침 일찍 이동해야 했다. 새벽 4시쯤 일어난 것 같다. 아침 지하철은 주말임에도 불구하고 어디론가... 예전에 순례길을 걷던 그 여행의 체력은 이미 없다. 모텔을 대실 해서 한숨 자고 그렇게 저녁에 부산을 탈출하게 된다.. - 어이없는 부산 중구 여행 끝.",14시간 전
10월 04일 유명 부동산 블로그 글모음 (부동산&재테크),com/buoasis/222525371689 부산 중구 여행 https://blog.naver.com/buoasis/222525688178 [ #대치동키즈 님 블로그] (9월 5주 대치동 키즈의... https://blog.naver.com/sonsarang38/222525307927 자존감을 높이려면 이 서울대생처럼 하라 https://blog.naver.com/sonsarang38/222525314504...,2021. 10. 4.
서울 여행 코스 정동 구세군역사박물관 실내 체험프로그램,서울 가볼만한곳 정동 구세군역사박물관 실내 체험프로그램 #서울여행 #서울여행코스 #서울중구여행 #서울정동여행 #구세군역사박물관 #국가균형발전위원회 #지역발전포털 #서울실내가볼만한곳 #실내가볼만한곳 #체험프로그램 #구세군 #구세군역사 #구세군자선냄비 호미숙 여행작가 추천...,2020. 11. 25.
